gene_id,locus_tag,ftype,gene_name,product_name,product_short,plot_label,COG,EC_number
E745S_00373,E745S_00373,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00374,E745S_00374,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00375,E745S_00375,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00376,E745S_00376,CDS,gmk_1,Guanylate kinase,Guanylate kinase,gmk_1 / Guanylate kinase,COG0194,2.7.4.8
E745S_00377,E745S_00377,CDS,nupC,Nucleoside permease NupC,Nucleoside permease NupC,nupC / Nucleoside permease NupC,COG1972,
E745S_00378,E745S_00378,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00379,E745S_00379,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00380,E745S_00380,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00381,E745S_00381,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00382,E745S_00382,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00383,E745S_00383,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00384,E745S_00384,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00385,E745S_00385,CDS,ygaZ_1,Inner membrane protein YgaZ,Inner membrane protein YgaZ,ygaZ_1 / Inner membrane protein YgaZ,COG1296,
E745S_00386,E745S_00386,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00387,E745S_00387,CDS,murJ_1,Lipid II flippase MurJ,Lipid II flippase MurJ,murJ_1 / Lipid II flippase MurJ,COG2244,
E745S_00388,E745S_00388,CDS,degV,Protein DegV,Protein DegV,degV / Protein DegV,COG1307,
E745S_00389,E745S_00389,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00390,E745S_00390,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00391,E745S_00391,CDS,malL_1,Oligo-1,6-glucosidase,Oligo-1,6-glucosidase,malL_1 / Oligo-1,6-glucosidase,COG0366,3.2.1.10
E745S_00392,E745S_00392,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00393,E745S_00393,CDS,hmpT,Thiamine precursor transporter HmpT,Thiamine precursor transporter HmpT,hmpT / Thiamine precursor transporter HmpT,COG4720,
E745S_00394,E745S_00394,CDS,pdxK,Pyridoxine kinase,Pyridoxine kinase,pdxK / Pyridoxine kinase,COG0351,2.7.1.35
E745S_00395,E745S_00395,CDS,menE,2-succinylbenzoate--CoA ligase,2-succinylbenzoate--CoA ligase,menE / 2-succinylbenzoate--CoA ligase,,6.2.1.26
E745S_00396,E745S_00396,CDS,xerC_3,Tyrosine recombinase XerC,Tyrosine recombinase XerC,xerC_3 / Tyrosine recombinase XerC,,
E745S_00397,E745S_00397,CDS,ysnF,Stress response protein YsnF,Stress response protein YsnF,ysnF / Stress response protein YsnF,,
E745S_00398,E745S_00398,CDS,sasA_1,Adaptive-response sensory-kinase SasA,Adaptive-response sensory-kinase SasA,sasA_1 / Adaptive-response sensory-kinase SasA,,2.7.-.-
E745S_00399,E745S_00399,CDS,mprA,Response regulator MprA,Response regulator MprA,mprA / Response regulator MprA,COG0745,
E745S_00400,E745S_00400,CDS,NA,putative ABC transporter permease,putative ABC transporter permease,putative ABC transporter permease,COG0577,
E745S_00401,E745S_00401,CDS,lolD_1,Lipoprotein-releasing system ATP-binding protein LolD,Lipoprotein-releasing system ATP-binding protein LolD,lolD_1 / Lipoprotein-releasing system ATP-binding protein LolD,COG1136,3.6.3.-
E745S_00402,E745S_00402,CDS,hrtA_1,Putative hemin import ATP-binding protein HrtA,Putative hemin import ATP-binding protein HrtA,hrtA_1 / Putative hemin import ATP-binding protein HrtA,COG1136,3.6.3.-
E745S_00403,E745S_00403,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00404,E745S_00404,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00405,E745S_00405,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00406,E745S_00406,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00407,E745S_00407,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00408,E745S_00408,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00409,E745S_00409,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00410,E745S_00410,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00411,E745S_00411,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00412,E745S_00412,CDS,ybbH_1,putative HTH-type transcriptional regulator YbbH,putative HTH-type transcriptional regulator YbbH,ybbH_1 / putative HTH-type transcriptional regulator YbbH,COG1737,
E745S_00413,E745S_00413,CDS,yhhX,putative oxidoreductase YhhX,putative oxidoreductase YhhX,yhhX / putative oxidoreductase YhhX,COG0673,1.-.-.-
E745S_00414,E745S_00414,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00415,E745S_00415,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00416,E745S_00416,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00417,E745S_00417,CDS,ulaA_1,Ascorbate-specific PTS system EIIC component,Ascorbate-specific PTS system EIIC component,ulaA_1 / Ascorbate-specific PTS system EIIC component,COG3037,
E745S_00418,E745S_00418,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00419,E745S_00419,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00420,E745S_00420,CDS,rhaS_1,HTH-type transcriptional activator RhaS,HTH-type transcriptional activator RhaS,rhaS_1 / HTH-type transcriptional activator RhaS,,
E745S_00421,E745S_00421,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00422,E745S_00422,CDS,ldh_1,L-lactate dehydrogenase,L-lactate dehydrogenase,ldh_1 / L-lactate dehydrogenase,,1.1.1.27
E745S_00423,E745S_00423,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00424,E745S_00424,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00425,E745S_00425,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00426,E745S_00426,CDS,topB_1,DNA topoisomerase 3,DNA topoisomerase 3,topB_1 / DNA topoisomerase 3,COG0550,5.6.2.1
E745S_00427,E745S_00427,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00428,E745S_00428,CDS,tagU_1,Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU,Polyisoprenyl-teichoic acid--peptidoglycan teichoic aci,tagU_1 / Polyisoprenyl-teichoic acid--peptidoglycan teichoic aci,,2.7.8.-
E745S_00429,E745S_00429,CDS,aroE,Shikimate dehydrogenase (NADP(+)),Shikimate dehydrogenase (NADP(+)),aroE / Shikimate dehydrogenase (NADP(+)),COG0169,1.1.1.25
E745S_00430,E745S_00430,CDS,cmpD,Bicarbonate transport ATP-binding protein CmpD,Bicarbonate transport ATP-binding protein CmpD,cmpD / Bicarbonate transport ATP-binding protein CmpD,,3.6.3.-
E745S_00431,E745S_00431,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00432,E745S_00432,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00433,E745S_00433,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00434,E745S_00434,CDS,NA,IS30 family transposase IS1252,IS30 family transposase IS1252,IS30 family transposase IS1252,COG2826,
E745S_00435,E745S_00435,CDS,rqcH,Rqc2 RqcH,Rqc2 RqcH,rqcH / Rqc2 RqcH,COG1293,
E745S_00436,E745S_00436,CDS,hdfR_1,HTH-type transcriptional regulator HdfR,HTH-type transcriptional regulator HdfR,hdfR_1 / HTH-type transcriptional regulator HdfR,,
E745S_00437,E745S_00437,CDS,cah,Carbonic anhydrase,Carbonic anhydrase,cah / Carbonic anhydrase,COG3338,4.2.1.1
E745S_00438,E745S_00438,CDS,yfbR,5'-deoxynucleotidase YfbR,5'-deoxynucleotidase YfbR,yfbR / 5'-deoxynucleotidase YfbR,,3.1.3.89
E745S_00439,E745S_00439,CDS,pyrE,Orotate phosphoribosyltransferase,Orotate phosphoribosyltransferase,pyrE / Orotate phosphoribosyltransferase,COG0461,2.4.2.10
E745S_00440,E745S_00440,CDS,pyrF,Orotidine 5'-phosphate decarboxylase,Orotidine 5'-phosphate decarboxylase,pyrF / Orotidine 5'-phosphate decarboxylase,COG0284,4.1.1.23
E745S_00441,E745S_00441,CDS,pyrDB,Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit,Dihydroorotate dehydrogenase B (NAD(+)), catalytic subu,pyrDB / Dihydroorotate dehydrogenase B (NAD(+)), catalytic subu,COG0167,1.3.1.14
E745S_00442,E745S_00442,CDS,pyrK_1,Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit,Dihydroorotate dehydrogenase B (NAD(+)), electron trans,pyrK_1 / Dihydroorotate dehydrogenase B (NAD(+)), electron trans,COG0543,
E745S_00443,E745S_00443,CDS,pyrK_2,Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit,Dihydroorotate dehydrogenase B (NAD(+)), electron trans,pyrK_2 / Dihydroorotate dehydrogenase B (NAD(+)), electron trans,COG0543,
E745S_00444,E745S_00444,CDS,carB,Carbamoyl-phosphate synthase large chain,Carbamoyl-phosphate synthase large chain,carB / Carbamoyl-phosphate synthase large chain,COG0458,6.3.5.5
E745S_00445,E745S_00445,CDS,carA,Carbamoyl-phosphate synthase small chain,Carbamoyl-phosphate synthase small chain,carA / Carbamoyl-phosphate synthase small chain,,6.3.5.5
E745S_00446,E745S_00446,CDS,pyrC,Dihydroorotase,Dihydroorotase,pyrC / Dihydroorotase,,3.5.2.3
E745S_00447,E745S_00447,CDS,pyrB,Aspartate carbamoyltransferase,Aspartate carbamoyltransferase,pyrB / Aspartate carbamoyltransferase,COG0540,2.1.3.2
E745S_00448,E745S_00448,CDS,pyrP,Uracil permease,Uracil permease,pyrP / Uracil permease,,
E745S_00449,E745S_00449,CDS,pyrR,Bifunctional protein pyrR,Bifunctional protein pyrR,pyrR / Bifunctional protein pyrR,,
E745S_00450,E745S_00450,CDS,rluD_1,Ribosomal large subunit pseudouridine synthase D,Ribosomal large subunit pseudouridine synthase D,rluD_1 / Ribosomal large subunit pseudouridine synthase D,COG0564,5.4.99.23
E745S_00451,E745S_00451,CDS,lspA,Lipoprotein signal peptidase,Lipoprotein signal peptidase,lspA / Lipoprotein signal peptidase,COG0597,3.4.23.36
E745S_00452,E745S_00452,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00453,E745S_00453,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00454,E745S_00454,CDS,fhs1,Formate--tetrahydrofolate ligase 1,Formate--tetrahydrofolate ligase 1,fhs1 / Formate--tetrahydrofolate ligase 1,,6.3.4.3
E745S_00455,E745S_00455,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00456,E745S_00456,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00457,E745S_00457,CDS,rnhA,14.7 kDa ribonuclease H-like protein,14.7 kDa ribonuclease H-like protein,rnhA / 14.7 kDa ribonuclease H-like protein,COG0328,
E745S_00458,E745S_00458,CDS,fieF,Ferrous-iron efflux pump FieF,Ferrous-iron efflux pump FieF,fieF / Ferrous-iron efflux pump FieF,,
E745S_00459,E745S_00459,CDS,panT_1,Pantothenate transporter PanT,Pantothenate transporter PanT,panT_1 / Pantothenate transporter PanT,,
E745S_00460,E745S_00460,CDS,alaS,Alanine--tRNA ligase,Alanine--tRNA ligase,alaS / Alanine--tRNA ligase,,6.1.1.7
E745S_00461,E745S_00461,CDS,NA,Acetyltransferase,Acetyltransferase,Acetyltransferase,,2.3.1.-
E745S_00462,E745S_00462,CDS,cshB,DEAD-box ATP-dependent RNA helicase CshB,DEAD-box ATP-dependent RNA helicase CshB,cshB / DEAD-box ATP-dependent RNA helicase CshB,COG0513,3.6.4.13
E745S_00463,E745S_00463,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00464,E745S_00464,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00465,E745S_00465,CDS,steT_1,Serine/threonine exchanger SteT,Serine/threonine exchanger SteT,steT_1 / Serine/threonine exchanger SteT,COG0531,
E745S_00466,E745S_00466,CDS,NA,putative epimerase/dehydratase,putative epimerase/dehydratase,putative epimerase/dehydratase,,
E745S_00467,E745S_00467,CDS,NA,Putative pyridoxal phosphate-dependent acyltransferase,Putative pyridoxal phosphate-dependent acyltransferase,Putative pyridoxal phosphate-dependent acyltransferase,,2.3.1.-
E745S_00468,E745S_00468,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00469,E745S_00469,CDS,yedJ,putative protein YedJ,putative protein YedJ,yedJ / putative protein YedJ,COG1418,
E745S_00470,E745S_00470,CDS,ypwA,Carboxypeptidase 1,Carboxypeptidase 1,ypwA / Carboxypeptidase 1,COG2317,3.4.17.19
E745S_00471,E745S_00471,CDS,rlmL,Ribosomal RNA large subunit methyltransferase L,Ribosomal RNA large subunit methyltransferase L,rlmL / Ribosomal RNA large subunit methyltransferase L,COG0116,2.1.1.173
E745S_00472,E745S_00472,CDS,gpsB,Cell cycle protein GpsB,Cell cycle protein GpsB,gpsB / Cell cycle protein GpsB,,
E745S_00473,E745S_00473,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00474,E745S_00474,CDS,recU,Holliday junction resolvase RecU,Holliday junction resolvase RecU,recU / Holliday junction resolvase RecU,COG3331,3.1.22.4
E745S_00475,E745S_00475,CDS,ponA_1,Penicillin-binding protein 1A,Penicillin-binding protein 1A,ponA_1 / Penicillin-binding protein 1A,COG0744,
E745S_00476,E745S_00476,CDS,NA,ISL3 family transposase ISEfa5,ISL3 family transposase ISEfa5,ISL3 family transposase ISEfa5,,
E745S_00477,E745S_00477,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00478,E745S_00478,CDS,nth,Endonuclease III,Endonuclease III,nth / Endonuclease III,COG0177,4.2.99.18
E745S_00479,E745S_00479,CDS,dnaD,DNA replication protein DnaD,DNA replication protein DnaD,dnaD / DNA replication protein DnaD,COG3935,
E745S_00480,E745S_00480,CDS,tetA,Tetracycline resistance protein, class C,Tetracycline resistance protein, class C,tetA / Tetracycline resistance protein, class C,,
E745S_00481,E745S_00481,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00482,E745S_00482,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00483,E745S_00483,CDS,nox_1,NADH oxidase,NADH oxidase,nox_1 / NADH oxidase,COG0446,1.6.99.3
E745S_00484,E745S_00484,CDS,perR,Peroxide operon regulator,Peroxide operon regulator,perR / Peroxide operon regulator,COG0735,
E745S_00485,E745S_00485,CDS,cysK,Cysteine synthase,Cysteine synthase,cysK / Cysteine synthase,,2.5.1.47
E745S_00486,E745S_00486,CDS,NA,Autolysin,Autolysin,Autolysin,COG1388,3.2.1.-
E745S_00487,E745S_00487,CDS,NA,IS30 family transposase IS1252,IS30 family transposase IS1252,IS30 family transposase IS1252,COG2826,
E745S_00488,E745S_00488,CDS,tkt,Transketolase,Transketolase,tkt / Transketolase,,2.2.1.1
E745S_00489,E745S_00489,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00490,E745S_00490,CDS,lexA,LexA repressor,LexA repressor,lexA / LexA repressor,COG1974,3.4.21.88
E745S_00491,E745S_00491,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00492,E745S_00492,CDS,apt,Adenine phosphoribosyltransferase,Adenine phosphoribosyltransferase,apt / Adenine phosphoribosyltransferase,COG0503,2.4.2.7
E745S_00493,E745S_00493,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00494,E745S_00494,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00495,E745S_00495,CDS,hcaB,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodio,hcaB / 3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodio,,1.3.1.87
E745S_00496,E745S_00496,CDS,rnz,Ribonuclease Z,Ribonuclease Z,rnz / Ribonuclease Z,COG1234,3.1.26.11
E745S_00497,E745S_00497,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00498,E745S_00498,CDS,obg,GTPase Obg,GTPase Obg,obg / GTPase Obg,COG0536,3.6.5.-
E745S_00499,E745S_00499,CDS,gap_1,Glyceraldehyde-3-phosphate dehydrogenase,Glyceraldehyde-3-phosphate dehydrogenase,gap_1 / Glyceraldehyde-3-phosphate dehydrogenase,,1.2.1.12
E745S_00500,E745S_00500,CDS,menH_1,2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase,2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate s,menH_1 / 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate s,,4.2.99.20
E745S_00501,E745S_00501,CDS,NA,IS30 family transposase IS6770,IS30 family transposase IS6770,IS30 family transposase IS6770,COG2826,
E745S_00502,E745S_00502,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00503,E745S_00503,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00504,E745S_00504,CDS,fabZ_1,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,fabZ_1 / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,COG0764,4.2.1.59
E745S_00505,E745S_00505,CDS,fabI,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,fabI / Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,COG0623,1.3.1.9
E745S_00506,E745S_00506,CDS,ilvE,Branched-chain-amino-acid aminotransferase,Branched-chain-amino-acid aminotransferase,ilvE / Branched-chain-amino-acid aminotransferase,COG0115,2.6.1.42
E745S_00507,E745S_00507,CDS,ykuT,putative MscS family protein YkuT,putative MscS family protein YkuT,ykuT / putative MscS family protein YkuT,COG0668,
E745S_00508,E745S_00508,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00509,E745S_00509,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00510,E745S_00510,CDS,rph,Ribonuclease PH,Ribonuclease PH,rph / Ribonuclease PH,,2.7.7.56
E745S_00511,E745S_00511,CDS,murI,Glutamate racemase,Glutamate racemase,murI / Glutamate racemase,COG0796,5.1.1.3
E745S_00512,E745S_00512,CDS,glnP,putative glutamine ABC transporter permease protein GlnP,putative glutamine ABC transporter permease protein Gln,glnP / putative glutamine ABC transporter permease protein Gln,COG0765,
E745S_00513,E745S_00513,CDS,glnM,putative glutamine ABC transporter permease protein GlnM,putative glutamine ABC transporter permease protein Gln,glnM / putative glutamine ABC transporter permease protein Gln,COG0765,
E745S_00514,E745S_00514,CDS,glnH,ABC transporter glutamine-binding protein GlnH,ABC transporter glutamine-binding protein GlnH,glnH / ABC transporter glutamine-binding protein GlnH,COG0834,
E745S_00515,E745S_00515,CDS,glnQ_1,Glutamine transport ATP-binding protein GlnQ,Glutamine transport ATP-binding protein GlnQ,glnQ_1 / Glutamine transport ATP-binding protein GlnQ,COG1126,3.6.3.-
E745S_00516,E745S_00516,CDS,trpS2,Tryptophan--tRNA ligase 2,Tryptophan--tRNA ligase 2,trpS2 / Tryptophan--tRNA ligase 2,COG0180,6.1.1.2
E745S_00517,E745S_00517,CDS,pheT,Phenylalanine--tRNA ligase beta subunit,Phenylalanine--tRNA ligase beta subunit,pheT / Phenylalanine--tRNA ligase beta subunit,,6.1.1.20
E745S_00518,E745S_00518,CDS,pheS,Phenylalanine--tRNA ligase alpha subunit,Phenylalanine--tRNA ligase alpha subunit,pheS / Phenylalanine--tRNA ligase alpha subunit,COG0016,6.1.1.20
E745S_00519,E745S_00519,CDS,yodB,HTH-type transcriptional regulator YodB,HTH-type transcriptional regulator YodB,yodB / HTH-type transcriptional regulator YodB,COG1733,
E745S_00520,E745S_00520,CDS,addA,ATP-dependent helicase/nuclease subunit A,ATP-dependent helicase/nuclease subunit A,addA / ATP-dependent helicase/nuclease subunit A,COG1074,3.1.-.-
E745S_00521,E745S_00521,CDS,addB_1,ATP-dependent helicase/deoxyribonuclease subunit B,ATP-dependent helicase/deoxyribonuclease subunit B,addB_1 / ATP-dependent helicase/deoxyribonuclease subunit B,COG3857,3.1.-.-
E745S_00522,E745S_00522,CDS,addB_2,ATP-dependent helicase/deoxyribonuclease subunit B,ATP-dependent helicase/deoxyribonuclease subunit B,addB_2 / ATP-dependent helicase/deoxyribonuclease subunit B,COG3857,3.1.-.-
E745S_00523,E745S_00523,CDS,NA,ISL3 family transposase ISEfa11,ISL3 family transposase ISEfa11,ISL3 family transposase ISEfa11,,
E745S_00524,E745S_00524,CDS,dtpT_1,Di-/tripeptide transporter,Di-/tripeptide transporter,dtpT_1 / Di-/tripeptide transporter,COG3104,
E745S_00525,E745S_00525,CDS,dtpT_2,Di-/tripeptide transporter,Di-/tripeptide transporter,dtpT_2 / Di-/tripeptide transporter,COG3104,
E745S_00526,E745S_00526,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00527,E745S_00527,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00528,E745S_00528,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00529,E745S_00529,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00530,E745S_00530,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00531,E745S_00531,tRNA,NA,tRNA-Gln(ctg),tRNA-Gln(ctg),tRNA-Gln(ctg),,
E745S_00532,E745S_00532,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00533,E745S_00533,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00534,E745S_00534,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00535,E745S_00535,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00536,E745S_00536,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00537,E745S_00537,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00538,E745S_00538,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00539,E745S_00539,CDS,NA,Putative universal stress protein,Putative universal stress protein,Putative universal stress protein,,
E745S_00540,E745S_00540,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00541,E745S_00541,tRNA,NA,tRNA-Leu(cag),tRNA-Leu(cag),tRNA-Leu(cag),,
E745S_00542,E745S_00542,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00543,E745S_00543,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00544,E745S_00544,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00545,E745S_00545,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00546,E745S_00546,CDS,dinG_1,3'-5' exonuclease DinG,3'-5' exonuclease DinG,dinG_1 / 3'-5' exonuclease DinG,,3.1.-.-
E745S_00547,E745S_00547,CDS,NA,putative metallo-hydrolase,putative metallo-hydrolase,putative metallo-hydrolase,,3.-.-.-
E745S_00548,E745S_00548,CDS,gpmA_2,2,3-bisphosphoglycerate-dependent phosphoglycerate mutase,2,3-bisphosphoglycerate-dependent phosphoglycerate muta,gpmA_2 / 2,3-bisphosphoglycerate-dependent phosphoglycerate muta,,5.4.2.11
E745S_00549,E745S_00549,CDS,uppP,Undecaprenyl-diphosphatase,Undecaprenyl-diphosphatase,uppP / Undecaprenyl-diphosphatase,,3.6.1.27
E745S_00550,E745S_00550,CDS,zosA,Zinc-transporting ATPase,Zinc-transporting ATPase,zosA / Zinc-transporting ATPase,COG2217,3.6.3.-
E745S_00551,E745S_00551,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00552,E745S_00552,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00553,E745S_00553,CDS,rpsT,30S ribosomal protein S20,30S ribosomal protein S20,rpsT / 30S ribosomal protein S20,,
E745S_00554,E745S_00554,CDS,yqeN,putative protein YqeN,putative protein YqeN,yqeN / putative protein YqeN,COG1466,
E745S_00555,E745S_00555,CDS,comEC,ComE operon protein 3,ComE operon protein 3,comEC / ComE operon protein 3,COG0658,
E745S_00556,E745S_00556,CDS,tadA_1,tRNA-specific adenosine deaminase,tRNA-specific adenosine deaminase,tadA_1 / tRNA-specific adenosine deaminase,,3.5.4.33
E745S_00557,E745S_00557,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00558,E745S_00558,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00559,E745S_00559,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00560,E745S_00560,CDS,ylbL,putative protein YlbL,putative protein YlbL,ylbL / putative protein YlbL,COG3480,
E745S_00561,E745S_00561,CDS,coaD,Phosphopantetheine adenylyltransferase,Phosphopantetheine adenylyltransferase,coaD / Phosphopantetheine adenylyltransferase,COG0669,2.7.7.3
E745S_00562,E745S_00562,CDS,rsmD,Ribosomal RNA small subunit methyltransferase D,Ribosomal RNA small subunit methyltransferase D,rsmD / Ribosomal RNA small subunit methyltransferase D,COG0742,2.1.1.171
E745S_00563,E745S_00563,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00564,E745S_00564,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00565,E745S_00565,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00566,E745S_00566,CDS,pycA,Pyruvate carboxylase,Pyruvate carboxylase,pycA / Pyruvate carboxylase,,6.4.1.1
E745S_00567,E745S_00567,CDS,ftsW_2,putative peptidoglycan glycosyltransferase FtsW,putative peptidoglycan glycosyltransferase FtsW,ftsW_2 / putative peptidoglycan glycosyltransferase FtsW,COG0772,2.4.1.129
E745S_00568,E745S_00568,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00569,E745S_00569,CDS,recQ_1,ATP-dependent DNA helicase RecQ,ATP-dependent DNA helicase RecQ,recQ_1 / ATP-dependent DNA helicase RecQ,COG0514,3.6.4.12
E745S_00570,E745S_00570,CDS,typA,GTP-binding protein TypA/BipA,GTP-binding protein TypA/BipA,typA / GTP-binding protein TypA/BipA,COG1217,
E745S_00571,E745S_00571,CDS,cysQ,3'(2'),5'-bisphosphate nucleotidase CysQ,3'(2'),5'-bisphosphate nucleotidase CysQ,cysQ / 3'(2'),5'-bisphosphate nucleotidase CysQ,,3.1.3.7
E745S_00572,E745S_00572,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00573,E745S_00573,CDS,pdhD,Dihydrolipoyl dehydrogenase,Dihydrolipoyl dehydrogenase,pdhD / Dihydrolipoyl dehydrogenase,,1.8.1.4
