locus_tag	ftype	length_bp	gene	EC_number	COG	product
E745S_00572	gene	276				
E745S_00572	CDS	276				hypothetical protein
E745S_00573	gene	1407	pdhD			
E745S_00573	CDS	1407	pdhD	1.8.1.4		Dihydrolipoyl dehydrogenase
E745S_00574	gene	1644				
E745S_00574	CDS	1644				hypothetical protein
E745S_00575	gene	978	pdhB			
E745S_00575	CDS	978	pdhB	1.2.4.1		Pyruvate dehydrogenase E1 component subunit beta
E745S_00576	gene	1110	pdhA			
E745S_00576	CDS	1110	pdhA	1.2.4.1		Pyruvate dehydrogenase E1 component subunit alpha
E745S_00577	gene	1425	norG			
E745S_00577	CDS	1425	norG		COG1167	HTH-type transcriptional regulator NorG
E745S_00578	gene	978	guaC			
E745S_00578	CDS	978	guaC	1.7.1.7	COG0516	GMP reductase
E745S_00579	gene	1206	xylH			
E745S_00579	CDS	1206	xylH		COG4214	Xylose transport system permease protein XylH
E745S_00580	gene	1527	xylG			
E745S_00580	CDS	1527	xylG	7.5.2.10	COG1129	Xylose import ATP-binding protein XylG
E745S_00581	gene	1089	chvE			
E745S_00581	CDS	1089	chvE		COG4213	Multiple sugar-binding periplasmic receptor ChvE
E745S_00582	gene	1017	ytfQ			
E745S_00582	CDS	1017	ytfQ			ABC transporter periplasmic-binding protein YtfQ
E745S_00583	gene	1452				
E745S_00583	CDS	1452				hypothetical protein
E745S_00584	gene	1566	rhaR_2			
E745S_00584	CDS	1566	rhaR_2			HTH-type transcriptional activator RhaR
E745S_00585	gene	915	ydhF			
E745S_00585	CDS	915	ydhF	1.-.-.-	COG4989	Oxidoreductase YdhF
E745S_00586	gene	1275	purD			
E745S_00586	CDS	1275	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
E745S_00587	gene	1536	purH			
E745S_00587	CDS	1536	purH			Bifunctional purine biosynthesis protein PurH
E745S_00588	gene	579	purN			
E745S_00588	CDS	579	purN	2.1.2.2		Phosphoribosylglycinamide formyltransferase
E745S_00589	gene	1053	purM			
E745S_00589	CDS	1053	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
E745S_00590	gene	1440	purF			
E745S_00590	CDS	1440	purF	2.4.2.14		Amidophosphoribosyltransferase
E745S_00591	gene	2223	purL			
E745S_00591	CDS	2223	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
E745S_00592	gene	672	purQ			
E745S_00592	CDS	672	purQ	6.3.5.3	COG0047	Phosphoribosylformylglycinamidine synthase subunit PurQ
E745S_00593	gene	255	purS			
E745S_00593	CDS	255	purS	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
E745S_00594	gene	729	purC			
E745S_00594	CDS	729	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
E745S_00595	gene	378				
E745S_00595	CDS	378				hypothetical protein
E745S_00596	gene	1296	purB			
E745S_00596	CDS	1296	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
E745S_00597	gene	1125	purK			
E745S_00597	CDS	1125	purK	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
E745S_00598	gene	489	purE			
E745S_00598	CDS	489	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
E745S_00599	gene	1308				
E745S_00599	CDS	1308				Nucleobase transporter PlUacP
E745S_00600	gene	582	xpt			
E745S_00600	CDS	582	xpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
E745S_00601	gene	1293	yteT			
E745S_00601	CDS	1293	yteT	1.-.-.-	COG0673	Putative oxidoreductase YteT
E745S_00602	gene	624				
E745S_00602	CDS	624				hypothetical protein
E745S_00603	gene	837	araQ_1			
E745S_00603	CDS	837	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
E745S_00604	gene	888	lacF_2			
E745S_00604	CDS	888	lacF_2			Lactose transport system permease protein LacF
E745S_00605	gene	1284	yesO			
E745S_00605	CDS	1284	yesO		COG1653	Putative ABC transporter substrate-binding protein YesO
E745S_00606	gene	684				
E745S_00606	CDS	684				hypothetical protein
E745S_00607	gene	618	lytG			
E745S_00607	CDS	618	lytG	3.2.1.-	COG1705	Exo-glucosaminidase LytG
E745S_00608	gene	825				
E745S_00608	CDS	825				hypothetical protein
E745S_00609	gene	561				
E745S_00609	CDS	561				hypothetical protein
E745S_00610	gene	948	iolU_1			
E745S_00610	CDS	948	iolU_1	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
E745S_00611	gene	957				
E745S_00611	CDS	957				hypothetical protein
E745S_00612	gene	603				
E745S_00612	CDS	603				hypothetical protein
E745S_00613	gene	1500	yqiK			
E745S_00613	CDS	1500	yqiK		COG2268	Inner membrane protein YqiK
E745S_00614	gene	525	yuaF			
E745S_00614	CDS	525	yuaF			putative membrane protein YuaF
E745S_00615	gene	873	dcuS_1			
E745S_00615	CDS	873	dcuS_1	2.7.13.3	COG3290	Sensor histidine kinase DcuS
E745S_00616	gene	786	dcuS_2			
E745S_00616	CDS	786	dcuS_2	2.7.13.3	COG3290	Sensor histidine kinase DcuS
E745S_00617	gene	717	dcuR			
E745S_00617	CDS	717	dcuR		COG4565	Transcriptional regulatory protein DcuR
E745S_00618	gene	1020	hgdH			
E745S_00618	CDS	1020	hgdH	1.1.1.399	COG1052	(R)-2-hydroxyglutarate dehydrogenase
E745S_00619	gene	1059				
E745S_00619	CDS	1059				hypothetical protein
E745S_00620	gene	1149	agaA_1			
E745S_00620	CDS	1149	agaA_1	3.5.1.-	COG1820	N-acetylgalactosamine-6-phosphate deacetylase
E745S_00621	gene	837				
E745S_00621	CDS	837				hypothetical protein
E745S_00622	gene	1221	alaA			
E745S_00622	CDS	1221	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
E745S_00623	gene	162				
E745S_00623	CDS	162				hypothetical protein
E745S_00624	gene	85				
E745S_00624	tRNA	85				tRNA-Leu(gag)
E745S_00625	gene	579				
E745S_00625	CDS	579				hypothetical protein
E745S_00626	gene	387				
E745S_00626	CDS	387				hypothetical protein
E745S_00627	gene	1179				
E745S_00627	CDS	1179				IS256 family transposase ISEf1
E745S_00628	gene	327				
E745S_00628	CDS	327				hypothetical protein
E745S_00629	gene	243	fosX			
E745S_00629	CDS	243	fosX		COG0346	Fosfomycin resistance protein FosX
E745S_00630	gene	291				
E745S_00630	CDS	291				hypothetical protein
E745S_00631	gene	693	smc_1			
E745S_00631	CDS	693	smc_1			Chromosome partition protein Smc
E745S_00632	gene	624				
E745S_00632	CDS	624				hypothetical protein
E745S_00633	gene	723	ycfH			
E745S_00633	CDS	723	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
E745S_00634	gene	738	ssuB			
E745S_00634	CDS	738	ssuB	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
E745S_00635	gene	993	thiY			
E745S_00635	CDS	993	thiY		COG0715	Formylaminopyrimidine-binding protein
E745S_00636	gene	744	ribX			
E745S_00636	CDS	744	ribX			Riboflavin transport system permease protein RibX
E745S_00637	gene	1323	garB			
E745S_00637	CDS	1323	garB	1.8.1.16		Glutathione amide reductase
E745S_00638	gene	309				
E745S_00638	CDS	309				hypothetical protein
E745S_00639	gene	693	opuCA_1			
E745S_00639	CDS	693	opuCA_1	7.6.2.9	COG1125	Carnitine transport ATP-binding protein OpuCA
E745S_00640	gene	1539				
E745S_00640	CDS	1539				hypothetical protein
E745S_00641	gene	288				
E745S_00641	CDS	288				hypothetical protein
E745S_00642	gene	669				
E745S_00642	CDS	669				hypothetical protein
E745S_00643	gene	741				
E745S_00643	CDS	741				hypothetical protein
E745S_00644	gene	948	exuR_1			
E745S_00644	CDS	948	exuR_1		COG1609	putative HTH-type transcriptional repressor ExuR
E745S_00645	gene	765				
E745S_00645	CDS	765				hypothetical protein
E745S_00646	gene	390				
E745S_00646	CDS	390				hypothetical protein
E745S_00647	gene	543				
E745S_00647	CDS	543				hypothetical protein
E745S_00648	gene	615				
E745S_00648	CDS	615				hypothetical protein
E745S_00649	gene	894				
E745S_00649	CDS	894				hypothetical protein
E745S_00650	gene	927	ppaC			
E745S_00650	CDS	927	ppaC	3.6.1.1	COG1227	putative manganese-dependent inorganic pyrophosphatase
E745S_00651	gene	762	pflA			
E745S_00651	CDS	762	pflA	1.97.1.4		Pyruvate formate-lyase-activating enzyme
E745S_00652	gene	2232	pflB			
E745S_00652	CDS	2232	pflB	2.3.1.54		Formate acetyltransferase
E745S_00653	gene	2451	parC			
E745S_00653	CDS	2451	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
E745S_00654	gene	2046	parE			
E745S_00654	CDS	2046	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
E745S_00655	gene	435	yccU			
E745S_00655	CDS	435	yccU		COG1832	putative protein YccU
E745S_00656	gene	639	plsY			
E745S_00656	CDS	639	plsY	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
E745S_00657	gene	876	lacX			
E745S_00657	CDS	876	lacX			Protein LacX, plasmid
E745S_00658	gene	792	codY			
E745S_00658	CDS	792	codY		COG4465	GTP-sensing transcriptional pleiotropic repressor CodY
E745S_00659	gene	1401	clpY			
E745S_00659	CDS	1401	clpY		COG1220	ATP-dependent protease ATPase subunit ClpY
E745S_00660	gene	549	hslV			
E745S_00660	CDS	549	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
E745S_00661	gene	906	xerC_4			
E745S_00661	CDS	906	xerC_4		COG4974	Tyrosine recombinase XerC
E745S_00662	gene	1326	trmFO			
E745S_00662	CDS	1326	trmFO	2.1.1.74	COG1206	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
E745S_00663	gene	2079	topA			
E745S_00663	CDS	2079	topA	5.6.2.1		DNA topoisomerase 1
E745S_00664	gene	858	dprA			
E745S_00664	CDS	858	dprA		COG0758	DNA processing protein DprA
E745S_00665	gene	768	rnhB			
E745S_00665	CDS	768	rnhB	3.1.26.4	COG0164	Ribonuclease HII
E745S_00666	gene	861	rbgA			
E745S_00666	CDS	861	rbgA		COG1161	Ribosome biogenesis GTPase A
E745S_00667	gene	399				
E745S_00667	CDS	399				hypothetical protein
E745S_00668	gene	543	folT_1			
E745S_00668	CDS	543	folT_1			Folate transporter FolT
E745S_00669	gene	552	sipV			
E745S_00669	CDS	552	sipV	3.4.21.89	COG0681	Signal peptidase I V
E745S_00670	gene	228				
E745S_00670	CDS	228				hypothetical protein
E745S_00671	gene	519	msrA_1			
E745S_00671	CDS	519	msrA_1	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
E745S_00672	gene	714				
E745S_00672	CDS	714				hypothetical protein
E745S_00673	gene	897				
E745S_00673	CDS	897				hypothetical protein
E745S_00674	gene	843				
E745S_00674	CDS	843			COG1307	DegV domain-containing protein
E745S_00675	gene	654				
E745S_00675	CDS	654				hypothetical protein
E745S_00676	gene	528	folA_2			
E745S_00676	CDS	528	folA_2	1.5.1.3		Dihydrofolate reductase
E745S_00677	gene	948	thyA			
E745S_00677	CDS	948	thyA	2.1.1.45	COG0207	Thymidylate synthase
E745S_00678	gene	1887	ettA			
E745S_00678	CDS	1887	ettA		COG0488	Energy-dependent translational throttle protein EttA
E745S_00679	gene	2079				
E745S_00679	CDS	2079				hypothetical protein
E745S_00680	gene	276				
E745S_00680	CDS	276				hypothetical protein
E745S_00681	gene	456				
E745S_00681	CDS	456				hypothetical protein
E745S_00682	gene	1209	cca			
E745S_00682	CDS	1209	cca	2.7.7.72		CCA-adding enzyme
E745S_00683	gene	333	ypjD			
E745S_00683	CDS	333	ypjD		COG1694	putative protein YpjD
E745S_00684	gene	876				
E745S_00684	CDS	876				hypothetical protein
E745S_00685	gene	582				
E745S_00685	CDS	582				hypothetical protein
E745S_00686	gene	1260	bepA			
E745S_00686	CDS	1260	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
E745S_00687	gene	1047				
E745S_00687	CDS	1047				hypothetical protein
E745S_00688	gene	276	hupA			
E745S_00688	CDS	276	hupA		COG0776	DNA-binding protein HU 1
E745S_00689	gene	1311	der			
E745S_00689	CDS	1311	der		COG1160	GTPase Der
E745S_00690	gene	1230	ypfD			
E745S_00690	CDS	1230	ypfD		COG0539	30S ribosomal protein S1 
E745S_00691	gene	681	cmk			
E745S_00691	CDS	681	cmk	2.7.4.25	COG0283	Cytidylate kinase
E745S_00692	gene	636				
E745S_00692	CDS	636				hypothetical protein
E745S_00693	gene	1404	recQ_2			
E745S_00693	CDS	1404	recQ_2	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
E745S_00694	gene	1032				
E745S_00694	CDS	1032				hypothetical protein
E745S_00695	gene	222				
E745S_00695	CDS	222				hypothetical protein
E745S_00696	gene	738				
E745S_00696	CDS	738				hypothetical protein
E745S_00697	gene	1341				
E745S_00697	CDS	1341		3.4.13.-		Putative dipeptidase
E745S_00698	gene	1524				
E745S_00698	CDS	1524				hypothetical protein
E745S_00699	gene	612	fmnP			
E745S_00699	CDS	612	fmnP		COG3601	Riboflavin transporter FmnP
E745S_00700	gene	717	rluB_1			
E745S_00700	CDS	717	rluB_1	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
E745S_00701	gene	570	scpB			
E745S_00701	CDS	570	scpB			Segregation and condensation protein B
E745S_00702	gene	798	scpA			
E745S_00702	CDS	798	scpA		COG1354	Segregation and condensation protein A
E745S_00703	gene	372	ribT			
E745S_00703	CDS	372	ribT	2.3.1.-		Protein RibT
E745S_00704	gene	888	xerD			
E745S_00704	CDS	888	xerD			Tyrosine recombinase XerD
E745S_00705	gene	171				
E745S_00705	CDS	171				hypothetical protein
E745S_00706	gene	468	fur			
E745S_00706	CDS	468	fur		COG0735	Ferric uptake regulation protein
E745S_00707	gene	864	cvfB			
E745S_00707	CDS	864	cvfB			Conserved virulence factor B
E745S_00708	gene	2103	mapZ			
E745S_00708	CDS	2103	mapZ			Mid-cell-anchored protein Z
E745S_00709	gene	1296				
E745S_00709	CDS	1296				ISL3 family transposase ISEfa11
E745S_00710	gene	1110	sigA			
E745S_00710	CDS	1110	sigA		COG0568	RNA polymerase sigma factor SigA
E745S_00711	gene	1842	dnaG			
E745S_00711	CDS	1842	dnaG	2.7.7.-	COG0358	DNA primase
E745S_00712	gene	2316	ctpE_1			
E745S_00712	CDS	2316	ctpE_1	7.2.2.10	COG0474	Calcium-transporting ATPase CtpE
E745S_00713	gene	861				
E745S_00713	CDS	861				hypothetical protein
E745S_00714	gene	342				
E745S_00714	CDS	342				hypothetical protein
E745S_00715	gene	720	ydjP			
E745S_00715	CDS	720	ydjP	3.-.-.-	COG0596	AB hydrolase superfamily protein YdjP
E745S_00716	gene	2592	mprF_1			
E745S_00716	CDS	2592	mprF_1	2.3.2.3		Phosphatidylglycerol lysyltransferase
E745S_00717	gene	1188	tuf_1			
E745S_00717	CDS	1188	tuf_1			Elongation factor Tu
E745S_00718	gene	357				
E745S_00718	CDS	357				hypothetical protein
E745S_00719	gene	1005				
E745S_00719	CDS	1005				hypothetical protein
E745S_00720	gene	852	yvgN			
E745S_00720	CDS	852	yvgN	1.1.1.-	COG0656	Glyoxal reductase
E745S_00721	gene	246				
E745S_00721	CDS	246				hypothetical protein
E745S_00722	gene	705				
E745S_00722	CDS	705				hypothetical protein
E745S_00723	gene	1263	mvaA			
E745S_00723	CDS	1263	mvaA	1.1.1.88		3-hydroxy-3-methylglutaryl-coenzyme A reductase
E745S_00724	gene	1221	thlA			
E745S_00724	CDS	1221	thlA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
E745S_00725	gene	1155	mvaS			
E745S_00725	CDS	1155	mvaS	2.3.3.10	COG3425	Hydroxymethylglutaryl-CoA synthase
E745S_00726	gene	753				
E745S_00726	CDS	753				hypothetical protein
E745S_00727	gene	2667				
E745S_00727	CDS	2667		7.2.2.10	COG0474	Calcium-transporting ATPase
E745S_00728	gene	1452	clsA_1			
E745S_00728	CDS	1452	clsA_1	2.7.8.-	COG1502	Major cardiolipin synthase ClsA
E745S_00729	gene	816	thiD			
E745S_00729	CDS	816	thiD	2.7.1.49		Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
E745S_00730	gene	276				
E745S_00730	CDS	276				hypothetical protein
E745S_00731	gene	456	spxA_2			
E745S_00731	CDS	456	spxA_2		COG1393	Regulatory protein Spx
E745S_00732	gene	750				
E745S_00732	CDS	750				hypothetical protein
E745S_00733	gene	327				
E745S_00733	CDS	327				hypothetical protein
E745S_00734	gene	441				
E745S_00734	CDS	441				Putative universal stress protein
E745S_00735	gene	1398	gmuD_1			
E745S_00735	CDS	1398	gmuD_1	3.2.1.86	COG2723	6-phospho-beta-glucosidase GmuD
E745S_00736	gene	1272	gmuC_1			
E745S_00736	CDS	1272	gmuC_1		COG1455	PTS system oligo-beta-mannoside-specific EIIC component
E745S_00737	gene	720	gmuR			
E745S_00737	CDS	720	gmuR		COG2188	HTH-type transcriptional regulator GmuR
E745S_00738	gene	975	mhqA			
E745S_00738	CDS	975	mhqA	1.13.11.-	COG0346	Putative ring-cleaving dioxygenase MhqA
E745S_00739	gene	606	mhqD			
E745S_00739	CDS	606	mhqD	3.1.-.-	COG0400	Putative hydrolase MhqD
E745S_00740	gene	753	mtnB			
E745S_00740	CDS	753	mtnB	4.2.1.109		Methylthioribulose-1-phosphate dehydratase
E745S_00741	gene	261				
E745S_00741	CDS	261				hypothetical protein
E745S_00742	gene	1362	gatC_2			
E745S_00742	CDS	1362	gatC_2		COG3775	PTS system galactitol-specific EIIC component
E745S_00743	gene	300				
E745S_00743	CDS	300				hypothetical protein
E745S_00744	gene	459	gatA_2			
E745S_00744	CDS	459	gatA_2		COG1762	PTS system galactitol-specific EIIA component
E745S_00745	gene	792	lacR_1			
E745S_00745	CDS	792	lacR_1			Lactose phosphotransferase system repressor
E745S_00746	gene	954	lacC_2			
E745S_00746	CDS	954	lacC_2	2.7.1.144	COG1105	Tagatose-6-phosphate kinase
E745S_00747	gene	975				
E745S_00747	CDS	975			COG1073	putative protein
E745S_00748	gene	435				
E745S_00748	CDS	435			COG0789	putative HTH-type transcriptional regulator
E745S_00749	gene	1023				
E745S_00749	CDS	1023				hypothetical protein
E745S_00750	gene	423	arsC			
E745S_00750	CDS	423	arsC	1.20.4.4	COG0394	Arsenate reductase
E745S_00751	gene	1923	manR_1			
E745S_00751	CDS	1923	manR_1		COG1762	Transcriptional regulator ManR
E745S_00752	gene	921	manP_1			
E745S_00752	CDS	921	manP_1		COG1299	PTS system mannose-specific EIIBCA component
E745S_00753	gene	972	manP_2			
E745S_00753	CDS	972	manP_2		COG1299	PTS system mannose-specific EIIBCA component
E745S_00754	gene	741	dgaF			
E745S_00754	CDS	741	dgaF	4.1.2.14		2-dehydro-3-deoxy-phosphogluconate aldolase
E745S_00755	gene	1092	dgaE			
E745S_00755	CDS	1092	dgaE	4.3.1.29		D-glucosaminate-6-phosphate ammonia lyase
E745S_00756	gene	1107				
E745S_00756	CDS	1107		3.1.1.-	COG3964	Deacetylase
E745S_00757	gene	678				
E745S_00757	CDS	678				hypothetical protein
E745S_00758	gene	780				
E745S_00758	CDS	780				hypothetical protein
E745S_00759	gene	351				
E745S_00759	CDS	351				hypothetical protein
E745S_00760	gene	357				
E745S_00760	CDS	357				hypothetical protein
E745S_00761	gene	1251				
E745S_00761	CDS	1251				IS110 family transposase ISSpn10
E745S_00762	gene	333				
E745S_00762	CDS	333				hypothetical protein
E745S_00763	gene	1863				
E745S_00763	CDS	1863				hypothetical protein
E745S_00764	gene	954				
E745S_00764	CDS	954			COG2826	IS30 family transposase IS1252
E745S_00765	gene	195				
E745S_00765	CDS	195				hypothetical protein
E745S_00766	gene	300				
E745S_00766	CDS	300				hypothetical protein
E745S_00767	gene	435				
E745S_00767	CDS	435				hypothetical protein
E745S_00768	gene	711	araD			
E745S_00768	CDS	711	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
E745S_00769	gene	861	ulaE			
E745S_00769	CDS	861	ulaE	5.1.3.22	COG3623	L-ribulose-5-phosphate 3-epimerase UlaE
E745S_00770	gene	639	sgbH			
E745S_00770	CDS	639	sgbH	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase SgbH
E745S_00771	gene	300				
E745S_00771	CDS	300				hypothetical protein
E745S_00772	gene	1485	ulaA_2			
E745S_00772	CDS	1485	ulaA_2		COG3037	Ascorbate-specific PTS system EIIC component
E745S_00773	gene	462				
E745S_00773	CDS	462				hypothetical protein
E745S_00774	gene	1068	ulaG			
E745S_00774	CDS	1068	ulaG	3.1.1.-	COG2220	putative L-ascorbate-6-phosphate lactonase UlaG
E745S_00775	gene	771	srlR			
E745S_00775	CDS	771	srlR		COG1349	Glucitol operon repressor
E745S_00776	gene	828				
E745S_00776	CDS	828				hypothetical protein
E745S_00777	gene	1236				
E745S_00777	CDS	1236				hypothetical protein
E745S_00778	gene	261				
E745S_00778	CDS	261				hypothetical protein
E745S_00779	gene	1302	licC_1			
E745S_00779	CDS	1302	licC_1		COG1455	Lichenan permease IIC component
E745S_00780	gene	459	ptsG_1			
E745S_00780	CDS	459	ptsG_1	2.7.1.199		PTS system glucose-specific EIICBA component
E745S_00781	gene	1329	malH			
E745S_00781	CDS	1329	malH	3.2.1.122	COG1486	Maltose-6'-phosphate glucosidase MalH
E745S_00782	gene	1413	gamP			
E745S_00782	CDS	1413	gamP		COG2190	Putative PTS system glucosamine-specific EIICBA component
E745S_00783	gene	765				
E745S_00783	CDS	765		3.5.1.-	COG3394	Carbohydrate deacetylase
E745S_00784	gene	876	licT_1			
E745S_00784	CDS	876	licT_1		COG3711	Transcription antiterminator LicT
E745S_00785	gene	87				
E745S_00785	tRNA	87				tRNA-Leu(caa)
E745S_00786	gene	74				
E745S_00786	tRNA	74				tRNA-Gln(ttg)
E745S_00787	gene	74				
E745S_00787	tRNA	74				tRNA-His(gtg)
E745S_00788	gene	87				
E745S_00788	tRNA	87				tRNA-Leu(caa)
E745S_00789	gene	71				
E745S_00789	tRNA	71				tRNA-Cys(gca)
E745S_00790	gene	74				
E745S_00790	tRNA	74				tRNA-Gln(ttg)
E745S_00791	gene	74				
E745S_00791	tRNA	74				tRNA-His(gtg)
E745S_00792	gene	74				
E745S_00792	tRNA	74				tRNA-Trp(cca)
E745S_00793	gene	83				
E745S_00793	tRNA	83				tRNA-Tyr(gta)
E745S_00794	gene	76				
E745S_00794	tRNA	76				tRNA-Phe(gaa)
E745S_00795	gene	76				
E745S_00795	tRNA	76				tRNA-Asp(gtc)
E745S_00796	gene	75				
E745S_00796	tRNA	75				tRNA-Val(tac)
E745S_00797	gene	74				
E745S_00797	tRNA	74				tRNA-Glu(ttc)
E745S_00798	gene	92				
E745S_00798	tRNA	92				tRNA-Ser(gga)
E745S_00799	gene	76				
E745S_00799	tRNA	76				tRNA-Asn(gtt)
E745S_00800	gene	73				
E745S_00800	tRNA	73				tRNA-Ala(tgc)
E745S_00801	gene	1506	sasA_2			
E745S_00801	CDS	1506	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
E745S_00802	gene	687	arlR_1			
E745S_00802	CDS	687	arlR_1		COG0745	Response regulator ArlR
E745S_00803	gene	1422	gnd			
E745S_00803	CDS	1422	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
E745S_00804	gene	180	rpmF_1			
E745S_00804	CDS	180	rpmF_1			50S ribosomal protein L32
E745S_00805	gene	570				
E745S_00805	CDS	570				hypothetical protein
E745S_00806	gene	903	gltC_1			
E745S_00806	CDS	903	gltC_1			HTH-type transcriptional regulator GltC
E745S_00807	gene	1785	pyk			
E745S_00807	CDS	1785	pyk	2.7.1.40	COG0469	Pyruvate kinase
E745S_00808	gene	963	pfkA			
E745S_00808	CDS	963	pfkA	2.7.1.11		ATP-dependent 6-phosphofructokinase
E745S_00809	gene	3315	dnaE			
E745S_00809	CDS	3315	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
E745S_00810	gene	186				
E745S_00810	CDS	186				hypothetical protein
E745S_00811	gene	1197	sbnD_1			
E745S_00811	CDS	1197	sbnD_1			Staphyloferrin B transporter
E745S_00812	gene	1296				
E745S_00812	CDS	1296				ISL3 family transposase ISEfa5
E745S_00813	gene	1545	pbuO			
E745S_00813	CDS	1545	pbuO		COG2252	Guanine/hypoxanthine permease PbuO
E745S_00814	gene	810	yitU			
E745S_00814	CDS	810	yitU	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
E745S_00815	gene	1296				
E745S_00815	CDS	1296				ISL3 family transposase IS1251
E745S_00816	gene	2154	penA			
E745S_00816	CDS	2154	penA		COG0768	Penicillin-binding protein 2B
E745S_00817	gene	849	ybbH_2			
E745S_00817	CDS	849	ybbH_2		COG1737	putative HTH-type transcriptional regulator YbbH
E745S_00818	gene	1941	thrS			
E745S_00818	CDS	1941	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
E745S_00819	gene	180				
E745S_00819	CDS	180		5.3.2.-		putative tautomerase
E745S_00820	gene	1824	ziaA			
E745S_00820	CDS	1824	ziaA	7.2.2.12		Zinc-transporting ATPase
E745S_00821	gene	2280	helD_1			
E745S_00821	CDS	2280	helD_1	3.6.4.12	COG3973	DNA helicase IV
E745S_00822	gene	648				
E745S_00822	CDS	648				hypothetical protein
E745S_00823	gene	990				
E745S_00823	CDS	990				ISL3 family transposase ISEfa11
E745S_00824	gene	720	yeeN			
E745S_00824	CDS	720	yeeN		COG0217	putative transcriptional regulatory protein YeeN
E745S_00825	gene	1152	tmcAL			
E745S_00825	CDS	1152	tmcAL	6.3.4.-	COG1323	tRNA(Met) cytidine acetate ligase
E745S_00826	gene	741	COQ5_1			
E745S_00826	CDS	741	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
E745S_00827	gene	261	rsfS			
E745S_00827	CDS	261	rsfS		COG0799	Ribosomal silencing factor RsfS
E745S_00828	gene	594				
E745S_00828	CDS	594				hypothetical protein
E745S_00829	gene	651	nadD			
E745S_00829	CDS	651	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
E745S_00830	gene	312				
E745S_00830	CDS	312			COG1534	RNA-binding protein
E745S_00831	gene	1110	yqeH			
E745S_00831	CDS	1110	yqeH		COG1161	putative protein YqeH
E745S_00832	gene	528				
E745S_00832	CDS	528				hypothetical protein
E745S_00833	gene	786	accA			
E745S_00833	CDS	786	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
E745S_00834	gene	870	accD			
E745S_00834	CDS	870	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
E745S_00835	gene	1380	cfiB			
E745S_00835	CDS	1380	cfiB	6.4.1.7	COG0439	2-oxoglutarate carboxylase small subunit
E745S_00836	gene	420	fabZ_2			
E745S_00836	CDS	420	fabZ_2	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
E745S_00837	gene	477	accB			
E745S_00837	CDS	477	accB			Biotin carboxyl carrier protein of acetyl-CoA carboxylase
E745S_00838	gene	1236	fabF			
E745S_00838	CDS	1236	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
E745S_00839	gene	738	fabG_2			
E745S_00839	CDS	738	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
E745S_00840	gene	918	fabD			
E745S_00840	CDS	918	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
E745S_00841	gene	225	acpA			
